ticker,name,company_number,isin,lei,url,file_path,fiscal_year,source_zip,inner_name
III,3i GROUP PLC,,GB00B1YW4409,35GDVHRBMFE7NWATNM84,https://data.fca.org.uk/artefacts/NSM/Portal/NI-000120870/NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip,,2025,fca-nsm,NI-000120870-0
FOUR,4IMPRINT GROUP PLC,,GB0006640972,213800G95T751RN2CT94,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000142872/NI-000142872_213800G95T751RN2CT94-2025-12-27.zip,,2025,fca-nsm,NI-000142872
AAS,ABERDEEN GROUP PLC,,GB00BMF19B58,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip,,2025,fca-nsm,NI-000141696
AAIF,ABERDEEN GROUP PLC,,GB00B0P6J834,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip,,2025,fca-nsm,NI-000141696
AEI,ABERDEEN GROUP PLC,,GB0006039597,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip,,2025,fca-nsm,NI-000141696
