code,count,lines,names
2593,2,396;397,"ITO EN,LTD. | ITO EN,LTD."
5076,2,1706;1707,INFRONEER Holdings Inc. | INFRONEER Holdings Inc.
7550,2,2834;2835,"ZENSHO HOLDINGS CO.,LTD. | ZENSHO HOLDINGS CO.,LTD."
9202,2,3482;3483,ANA HOLDINGS INC. | ANA HOLDINGS INC.
9434,3,3605;3606;3607,SoftBank Corp. | SoftBank Corp. | SoftBank Corp.
